n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,5,2,100000,15000,0.3,0.95,4e-06,0,0.24790093102730362,0.2522971173199176,1.476,1.924
2,5,2,100000,15000,0.3,0.95,4e-06,1,0.21972828895733676,0.24910591305047408,1.476,1.924
2,5,2,100000,15000,0.3,0.95,4e-06,3,0.26466323006725423,0.25419583594663114,1.476,1.924
2,5,2,100000,15000,0.3,0.95,4e-06,2,0.22827976087952598,0.2500745653210117,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,0,0.3262229986604377,0.26116890563149203,1.476,1.924
2,5,2,100000,15000,0.3,0.95,4e-06,4,0.26397636118616175,0.25411803213609585,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,1,0.32121673694675007,0.2606018305337786,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,2,0.3233104715423177,0.2608389944733148,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,3,0.3259895415307877,0.26114246120405704,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,4,0.322528482152517,0.2607504160619186,1.476,1.924
2,15,1,100000,15000,0.3,0.95,4e-06,0,0.35120150915695303,0.2639983005154669,1.476,1.924
4,10,1,100000,15000,0.05,0.95,0.0001,1,0.11183308663441009,0.09495559533878273,1.332,2.056
2,15,1,100000,15000,0.3,0.95,4e-06,1,0.34214831089603676,0.26297281611572176,1.476,1.924
4,10,1,100000,15000,0.05,0.95,0.0001,0,0.050229906502784645,0.08759330158990226,1.332,2.056
4,10,1,100000,15000,0.05,0.95,0.0001,2,0.09656758912019801,0.09313119152257882,1.332,2.056
4,10,1,100000,15000,0.05,0.95,0.0001,4,-0.00018146637059469564,0.08156855847460932,1.332,2.056
4,10,1,100000,15000,0.05,0.95,0.0001,3,0.1519522191780523,0.09975029649066253,1.332,2.056
2,15,1,100000,15000,0.3,0.95,4e-06,2,0.3463537185393443,0.26344917594000605,1.476,1.924
2,15,1,100000,15000,0.3,0.95,4e-06,3,0.3630824173889741,0.26534408856689395,1.476,1.924
2,15,1,100000,15000,0.3,0.95,4e-06,4,0.37079517104124265,0.2662177365663666,1.476,1.924
2,5,1,100000,15000,0.5,0.95,0.0001,1,0.7572342780929723,0.3099909164208066,1.476,1.924
2,5,1,100000,15000,0.5,0.95,0.0001,0,0.7580924768267425,0.3100881273056231,1.476,1.924
2,5,1,100000,15000,0.5,0.95,0.0001,2,0.7580174573062917,0.31007962960727586,1.476,1.924
2,5,1,100000,15000,0.5,0.95,0.0001,4,0.17570835344486366,0.24411963573224604,1.476,1.924
2,5,1,100000,15000,0.5,0.95,0.0001,3,0.5607177439778216,0.28773086707481177,1.476,1.924
2,15,2,100000,15000,0.5,0.95,4e-06,0,0.25928792870960576,0.2535869585612772,1.476,1.924
2,15,2,100000,15000,0.5,0.95,4e-06,1,0.2592403231138864,0.2535815661248869,1.476,1.924
2,15,2,100000,15000,0.5,0.95,4e-06,3,0.2579463110625743,0.253434989287237,1.476,1.924
2,15,2,100000,15000,0.5,0.95,4e-06,2,0.254476665254327,0.25304197153301866,1.476,1.924
2,15,2,100000,15000,0.5,0.95,4e-06,4,0.2559003907517926,0.2532032414229617,1.476,1.924
2,10,2,100000,15000,0.05,0.95,1e-06,0,0.326932301591444,0.2612492506178137,1.476,1.924
2,10,2,100000,15000,0.05,0.95,1e-06,2,0.3234771420300124,0.2608578737665881,1.476,1.924
2,10,2,100000,15000,0.05,0.95,1e-06,1,0.3200607677951647,0.2604708902519718,1.476,1.924
2,10,2,100000,15000,0.05,0.95,1e-06,3,0.3265254261747897,0.2612031625525362,1.476,1.924
2,10,2,100000,15000,0.05,0.95,1e-06,4,0.32389650021807875,0.2609053757948629,1.476,1.924
2,15,1,100000,15000,0.5,0.95,4e-06,0,0.3407258319724957,0.26281168742914973,1.476,1.924
2,15,1,100000,15000,0.5,0.95,4e-06,1,0.32800392949752266,0.2613706372999942,1.476,1.924
2,15,1,100000,15000,0.5,0.95,4e-06,2,0.33243984226980255,0.2618731071692604,1.476,1.924
2,15,1,100000,15000,0.5,0.95,4e-06,3,0.34151262401610144,0.2629008098523319,1.476,1.924
